_id,countInStock,createdAt,description,image,isActive,name,numReviews,price,public_id,rating,reviews,updatedAt
61923b606017851328c7d3be,0,2021-11-15T10:50:08.590Z,"<p>A giant delicious burger with a lot of cheese, tomato and salada .</p>",https://res.cloudinary.com/chiragsh2125/image/upload/v1636973407/product/vycmy4fhvildxkdmtkux.jpg,true,Giant Burger,1,5000,product/vycmy4fhvildxkdmtkux,3,"[{""rating"":3,""_id"":{""$oid"":""61a4bac06226ce12d0a0d2a1""},""comment"":""Love the Burger "",""user"":{""$oid"":""61a4871aafd693367816fb8f""},""createdAt"":{""$date"":""2021-11-29T11:34:24.564Z""},""updatedAt"":{""$date"":""2021-11-29T11:34:24.564Z""}}]",2021-11-29T11:39:14.615Z
61a4bd286226ce12d0a0d2a8,0,2021-11-29T11:44:40.872Z,<p>Yummy Rice with lots of mac and cheese</p>,,true,Fried Rice,0,2000,,0,[],2021-12-05T08:11:48.552Z
61a4bd606226ce12d0a0d2a9,0,2021-11-29T11:45:36.545Z,<p>An Awesome pizza made up if 4 different kinds of cheese</p>,https://res.cloudinary.com/chiragsh2125/image/upload/v1638186333/product/w0f4glf7uqa5cflffu1m.jpg,true,4 Cheese Pizza,0,9000,product/w0f4glf7uqa5cflffu1m,0,[],2021-11-29T11:45:36.545Z
61acdcf949db919bb4984f89,0,2021-12-05T15:38:33.536Z,<p><strong>a spiced mix of meat and rice</strong></p>,https://res.cloudinary.com/chiragsh2125/image/upload/v1638718713/product/potxologp7fyfelke1ak.jpg,true,Muradabadi Biryani,0,1000,product/potxologp7fyfelke1ak,0,[],2021-12-05T15:38:33.536Z
61acdd4249db919bb4984f8a,0,2021-12-05T15:39:46.862Z,<p><strong>a spiced mix of meat and rice</strong></p>,https://res.cloudinary.com/chiragsh2125/image/upload/v1638718786/product/w2bffiwznjfezfr67xzw.jpg,true,Thalassery Biryani,0,1000,product/w2bffiwznjfezfr67xzw,0,[],2021-12-05T15:39:46.862Z
61acdda749db919bb4984f8b,0,2021-12-05T15:41:27.975Z,<p><strong>a spiced mix of meat and rice</strong></p>,https://res.cloudinary.com/chiragsh2125/image/upload/v1638718887/product/s0zfcpy3jt7k4mq7lnbk.jpg,true,Tehari Biryani,0,1200,product/s0zfcpy3jt7k4mq7lnbk,0,[],2021-12-05T15:41:27.975Z
61ae47ab5e24d134606493f6,0,2021-12-06T17:26:03.981Z,"<p>A <strong>dosa</strong> is a thin pancake or crepe originating from South India, made from a fermented batter predominantly consisting of lentils and rice.&nbsp;&nbsp;</p>",https://res.cloudinary.com/chiragsh2125/image/upload/v1638811560/product/cowta2l9tdnpdqrsq85b.jpg,true,Mysore Masala Dosa,0,2000,product/cowta2l9tdnpdqrsq85b,0,[],2021-12-06T17:26:03.981Z
61ae48ce5e24d134606493f7,0,2021-12-06T17:30:54.011Z,"<p>Special Sunny Leone chaap made up with a lot of milk, and hottness.</p>
<p>&nbsp;</p>",https://res.cloudinary.com/chiragsh2125/image/upload/v1638811850/product/h9is51gdn4ql3hiqk6dk.jpg,true,Sunny Leone Chap,0,11000,product/h9is51gdn4ql3hiqk6dk,0,[],2021-12-06T17:30:54.011Z
61ae499f5e24d134606493f8,0,2021-12-06T17:34:23.313Z,"<div class=""jarKte jP1f5"">White sauce pasta is a deliciously creamy and spicy dish. Kid will like to eat it.</div>
<div class=""xgmLr jarKte"">
<div class=""x80KQe"">Ingredients</div>
<ul class=""mI1G0d"">
<li class=""gnbx1b pjssF"">Pasta 1 cup</li>
<li class=""gnbx1b pjssF"">Butter (cubes) 4 number</li>
<li class=""gnbx1b pjssF"">All purpose flour 2 teaspoons</li>
<li class=""gnbx1b pjssF"">Nutmeg (grated) 1 pinch</li>
<li class=""gnbx1b pjssF"">Green bell pepper(chopped) 1/4 cup</li>
</ul>
</div>",https://res.cloudinary.com/chiragsh2125/image/upload/v1638812060/product/atupg6q9e61izpvnjjvq.jpg,true,Creamy white sauce pasta,0,300,product/atupg6q9e61izpvnjjvq,0,[],2021-12-06T17:34:23.313Z
61ae68f92b74e02f3c1e771c,0,2021-12-06T19:48:09.682Z,"<p><strong>a spiced mix of meat and rice, traditionally cooked over an open fire in a leather pot</strong></p>",https://res.cloudinary.com/chiragsh2125/image/upload/v1638820087/product/dm1fdrmspeuvacfxa8cc.jpg,true,Awadhi Biryani,0,1300,product/dm1fdrmspeuvacfxa8cc,0,[],2021-12-06T19:48:09.682Z
